Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric,1.710000,-46.740000,270.000000,top
C2,100n,C_0805_2012Metric,-36.502000,-19.874000,270.000000,top
C3,15p0,C_0805_2012Metric,-49.954400,-4.100000,0.000000,top
C4,15p0,C_0805_2012Metric,-49.954400,-12.523000,0.000000,top
C5,100n,C_0805_2012Metric,-45.926500,-6.189000,180.000000,top
C6,10u0/25V,C_0805_2012Metric,-32.946000,-18.985000,180.000000,top
C7,10u0/25V,C_0805_2012Metric,-26.090000,-9.620000,180.000000,top
C8,10u0/25V,C_0805_2012Metric,-45.926500,-4.030000,0.000000,top
C9,10u0/25V,C_0805_2012Metric,-38.534000,-19.889000,90.000000,top
C10,10u0/25V,C_0805_2012Metric,-29.278000,-18.985000,180.000000,top
C11,10u0/25V,C_0805_2012Metric,-26.060300,-7.301000,180.000000,top
C12,10u0/25V,C_0805_2012Metric,-36.400500,-3.048000,180.000000,top
C13,10u0/25V,C_0805_2012Metric,-45.854000,-14.960000,0.000000,top
C14,10n0,C_0805_2012Metric,-37.259500,16.129000,180.000000,top
C15,10u0/25V,C_0805_2012Metric,-51.300000,5.062500,90.000000,top
C16,10u0/75V,C_1210_3225Metric,17.400000,-47.100000,270.000000,top
C17,100n,C_0805_2012Metric,18.175000,-41.875000,90.000000,top
C18,100n,C_0805_2012Metric,-49.100000,0.637500,90.000000,top
C19,100n,C_0805_2012Metric,11.775000,-48.850000,270.000000,top
C20,10n0,C_0805_2012Metric,15.825000,-41.850000,90.000000,top
C21,100n,C_0805_2012Metric,-47.337500,11.938000,0.000000,top
C22,10u0/25V,C_0805_2012Metric,-41.400000,5.062500,90.000000,top
C23,10n0,C_0805_2012Metric,8.880001,-45.500000,0.000000,top
C24,10n0,C_0805_2012Metric,-30.937200,42.316400,180.000000,top
C25,100n,C_0805_2012Metric,-40.561500,-3.048000,180.000000,top
C26,22u0/25V,C_0805_2012Metric,2.875000,-36.500000,0.000000,top
C27,100n,C_0805_2012Metric,-38.037500,12.000000,0.000000,top
C28,10u0/25V,C_0805_2012Metric,2.875000,-39.000000,0.000000,top
C29,10u0/25V,C_0805_2012Metric,-31.700000,5.162500,90.000000,top
C30,100n,C_0805_2012Metric,-30.754000,-3.028000,180.000000,top
